dog,kutya,
cat,macska,
estuary,torkolat,
mouth,torkolat,
mouth,száj,
branch,ág,
exciting,izgalmas,
features,jellemzők,
feature,funkció,
features,funkciók,
even,még,
along,mentén,
available,elérhető,
straight,egyenes,
industry,ipar,
industry,iparág,
default,alapértelmezett,
as,mint,
as,ként,
instead,helyette,
accommodate,alkalmazkodik,
accommodate,befogad,
compatible,összeegyeztethető,
compatible,kompatibilis,
backwards,visszafelé,
backwards,hátrafelé,
considered,megfontolt,
aliases,álnevek,
alias,álnév,
display,kijelző,
display,képernyő,
display,monitor,
effort,erőfeszítés,
attempt,kísérlet,
attempt,próbálkozás,
attempt,megpróbál,
update,frissít,
update,frissítés,
update,korszerűsít,
update,modernizál,
submit,beküldés,
backwards,visszafele,
issue,probléma,
spot,hely,
spot,folt,
spotted,észlelve,
spot,meglát,
egregious,hallatlan,
egregious,rettenetes,
biased,elfogult,
terminology,szaknyelv,
pace,tempo,
pace,ütem,
introduction,bevezetés,
repository,adattár,
records,feljegyzések,
record,feljegyzés,
record,rekord,
snapshot,pillanatkép,
accordance,összhang,
should,kellene,
fairly,meglehetősen,
fairly,méltányosan,
consistent,következetes,
notice,értesítés,
majority,többség,
sequence,sorrend,
want,akar,
though,bár,
aggrement,megegyezés,
entire,teljes,
compress,sűrít,
maintain,fenntartani,
were,voltak,
ancestor,előd,
ancestor,ős,
above,felül,
them,őket,
most,legtöbb,
designate,kijelöl,
visualization,megjelenítés,
maintaining,fenntartása,
practice,gyakorlat,
initial,kezdeti,
might,esetleg,
which,melyik,
detached,különálló,
solved,megoldva,
solution,megoldás,
solution,oldat,
enthusiast,rajongó,
overhead,önköltség,
divide,feloszt,
include,tartalmaz,
image,kép,
eventually,végülis,
bunch,csokor,
separate,különálló,
allowed,megengedett,
merge,összeolvad,
merge,egybevon,
allow,enged,
examine,vizsgálni,
neither,se,
neither,sem,
advantage,előny,
sequentially,egymás után,
ramping up,növelni,
parellel,párhuzamos,
around,körül,
amplify,kiterjeszt,
amplify,erősít,
recent,friss,
reflected,tükröződik,
separate,elkülönít,
apple,alma,
