rekord,32,
sűrít,27,
visszafele,26,
vizsgálni,20,
ként,32,
feloszt,29,
előny,25,
fenntartása,26,
tartalmaz,28,
folt,32,
próbálkozás,24,
összhang,30,
különálló,24,
beküldés,35,
összeegyeztethető,25,
kompatibilis,34,
kísérlet,24,
teljes,24,
önköltség,29,
jellemzők,42,
probléma,31,
erősít,31,
meglát,28,
rajongó,26,
funkciók,42,
előd,29,
frissítés,31,
megpróbál,27,
feljegyzés,35,
enged,26,
mentén,37,
voltak,27,
ős,29,
körül,29,
megegyezés,28,
bevezetés,37,
erőfeszítés,29,
mint,48,
elkülönít,24,
méltányosan,24,
se,25,
pillanatkép,36,
kép,28,
alapértelmezett,43,
csokor,26,
álnevek,38,
sem,21,
észlelve,32,
megoldva,24,
frissít,30,
száj,49,
tükröződik,25,
kezdeti,30,
megoldás,30,
megengedett,28,
végülis,27,
feljegyzések,33,
hely,35,
egybevon,27,
kiterjeszt,28,
következetes,26,
alkalmazkodik,30,
visszafelé,34,
álnév,34,
meglehetősen,30,
kijelöl,22,
tempo,32,
képernyő,36,
legtöbb,25,
hátrafelé,40,
megfontolt,26,
megjelenítés,25,
bár,26,
értesítés,30,
adattár,29,
elérhető,30,
funkció,29,
ág,36,
kijelző,38,
ipar,33,
befogad,28,
növelni,29,
torkolat,48,
korszerűsít,33,
iparág,34,
modernizál,29,
melyik,30,
kutya,43,
esetleg,29,
még,35,
ütem,25,
oldat,30,
egymás után,24,
helyette,36,
gyakorlat,28,
izgalmas,27,
macska,43,
egyenes,33,
rettenetes,30,
többség,31,
összeolvad,30,
monitor,33,
sorrend,26,
friss,30,
felül,29,
őket,31,
elfogult,31,
hallatlan,28,
szaknyelv,28,
akar,31,
fenntartani,24,
kellene,30,
párhuzamos,24,
egyezség,25,
eljut,25,
odaér,25,
fejlett,25,
előrehaladott,25,
haladó,25,
keresztül,25,
át,25,
felerősítve,25,
ról,25,
ről,25,
miatt,25,
körülbelül,25,
lényegében,25,
vita,25,
érv,25,
mutat valahová,25,
megváltoztatásával,25,
megváltozik,25,
látható,25,
felfed,25,
alul,25,
mindvégig,25,
leválasztott,25,
csatol,25,
mindegyik,25,
minden egyes,25,
meghalad,25,
felülmúl,25,
meghatároz,25,
meghatározva,25,
unalmas,25,
továbbá,25,
általában,25,
is,25,
példa,25,
például,25,
igényel,25,
amíg,25,
ig,25,
míg,25,
pontosítani,25,
meghatároz,25,
azok,25,
kényelmes,25,
bemutatni,25,
egyenértékű,25,
